id,image_id,category_id,bbox,segmentation,area,file_name,width,height,attributes
1,1,84,"[96.75932312011719, 19.740680694580078, 7.284759521484375, 21.546642303466797]",[],156.96210767619777,1634018288121_Small Cupboard Melamine for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
2,1,84,"[99.91023254394531, 19.759830474853516, 11.340217590332031, 22.739742279052734]",[],257.8736253925308,1634018288121_Small Cupboard Melamine for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
3,1,15,"[62.290489196777344, 48.610076904296875, 48.818267822265625, 27.80419158935547]",[],1357.3524715907406,1634018288121_Small Cupboard Melamine for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
4,1,44,"[97.18596649169922, 20.677946090698242, 4.90576171875, 20.2271785736084]",[],99.22971832472831,1634018288121_Small Cupboard Melamine for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
5,2,72,"[0.15689216554164886, 47.815216064453125, 9.066530227661133, 42.779083251953125]",[],387.8578514154651,1634028472376_3 Door Cupboard for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
6,2,1,"[127.43213653564453, 79.59583282470703, 14.196052551269531, 26.313087463378906]",[],373.54197241627844,1634028472376_3 Door Cupboard for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
7,3,1,"[103.92316436767578, 15.26392650604248, 38.07683563232422, 85.79546356201172]",[],3266.819764049782,1634022055458_Plastic chairs for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
8,3,1,"[5.938572406768799, 0.0, 103.86293029785156, 106.37612915039062]",[],11048.536487302277,1634022055458_Plastic chairs for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
9,3,1,"[1.9201451539993286, 20.568634033203125, 60.512451171875, 85.07096862792969]",[],5147.852835241705,1634022055458_Plastic chairs for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
10,3,1,"[39.505821228027344, 5.300530433654785, 98.55170440673828, 98.1895980834961]",[],9676.752246141143,1634022055458_Plastic chairs for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
11,3,17,"[33.41966247558594, 27.738998413085938, 82.82386779785156, 62.639122009277344]",[],5188.014360269881,1634022055458_Plastic chairs for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
12,3,15,"[104.29985809326172, 27.219606399536133, 37.62523651123047, 68.47698974609375]",[],2576.462934773881,1634022055458_Plastic chairs for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
13,3,62,"[26.2398738861084, 5.403171062469482, 96.6206283569336, 94.48001098632812]",[],9128.718028669013,1634022055458_Plastic chairs for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
14,3,65,"[20.19417381286621, 6.836472988128662, 115.8245620727539, 97.52496337890625]",[],11295.786174523178,1634022055458_Plastic chairs for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
15,3,2,"[19.991992950439453, 15.875994682312012, 116.38999938964844, 85.9782485961914]",[],10007.00830163376,1634022055458_Plastic chairs for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
16,3,15,"[29.121917724609375, 24.6181583404541, 102.54547119140625, 77.55914306640625]",[],7953.338870946318,1634022055458_Plastic chairs for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
17,3,17,"[9.503863334655762, 12.807832717895508, 123.2015380859375, 90.02408599853516]",[],11091.105859800242,1634022055458_Plastic chairs for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
18,3,62,"[5.891969680786133, 28.88024139404297, 41.302894592285156, 76.93807220458984]",[],3177.7650863997987,1634022055458_Plastic chairs for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
19,3,79,"[24.616466522216797, 24.79499626159668, 106.8360595703125, 77.51490783691406]",[],8281.387311251834,1634022055458_Plastic chairs for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
20,3,62,"[53.34674835205078, 34.67668533325195, 65.32100677490234, 56.75889205932617]",[],3707.5479727431957,1634022055458_Plastic chairs for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
21,3,65,"[104.67662811279297, 23.96285629272461, 37.008399963378906, 75.76121520996094]",[],2803.80135420186,1634022055458_Plastic chairs for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
22,3,87,"[24.469818115234375, 19.088029861450195, 104.93711853027344, 81.00704956054688]",[],8500.646361522842,1634022055458_Plastic chairs for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
23,4,65,"[0.0, 14.483148574829102, 139.0787811279297, 90.81381225585938]",[],12630.274318125565,1634023459592_6Ã65 king size bed for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
24,4,67,"[0.0, 10.037711143493652, 142.0, 96.9622802734375]",[],13768.643798828125,1634023459592_6Ã65 king size bed for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
25,4,18,"[85.2031021118164, 28.706314086914062, 43.202735900878906, 22.126651763916016]",[],955.93189252718,1634023459592_6Ã65 king size bed for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
26,4,73,"[2.876358985900879, 29.364919662475586, 129.88356018066406, 69.96184539794922]",[],9086.893557094852,1634023459592_6Ã65 king size bed for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
27,4,18,"[16.66610336303711, 19.753747940063477, 110.92500305175781, 52.25364685058594]",[],5796.23593636672,1634023459592_6Ã65 king size bed for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
28,4,84,"[12.448892593383789, 39.885135650634766, 115.66544342041016, 64.5828857421875]",[],7470.008116739802,1634023459592_6Ã65 king size bed for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
29,4,90,"[62.695133209228516, 81.79290771484375, 20.717823028564453, 16.288177490234375]",[],337.4555787005229,1634023459592_6Ã65 king size bed for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
30,4,18,"[52.912357330322266, 19.440616607666016, 76.94949340820312, 38.55647659301758]",[],2966.901341437944,1634023459592_6Ã65 king size bed for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
31,4,3,"[72.18683624267578, 71.40855407714844, 20.04163360595703, 9.656784057617188]",[],193.53772789461073,1634023459592_6Ã65 king size bed for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
32,4,63,"[24.38525390625, 22.376251220703125, 15.358116149902344, 14.859813690185547]",[],228.2187446197786,1634023459592_6Ã65 king size bed for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
33,4,1,"[56.74578094482422, 51.93804931640625, 10.8212890625, 25.127029418945312]",[],271.90684862434864,1634023459592_6Ã65 king size bed for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
34,4,62,"[120.45823669433594, 32.92262649536133, 20.216751098632812, 39.58757400512695]",[],800.3321302603581,1634023459592_6Ã65 king size bed for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
35,4,1,"[0.7102798223495483, 21.615814208984375, 24.98076057434082, 21.832733154296875]",[],545.3982796109631,1634023459592_6Ã65 king size bed for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
36,4,67,"[0.013976647518575191, 31.81032943725586, 91.8552017211914, 74.78123474121094]",[],6869.0454021136975,1634023459592_6Ã65 king size bed for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
37,4,18,"[0.2796187400817871, 21.661298751831055, 25.285879135131836, 20.118867874145508]",[],508.7232614013301,1634023459592_6Ã65 king size bed for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
38,4,76,"[2.7636921405792236, 21.53835105895996, 132.6083526611328, 68.119384765625]",[],9033.199398059398,1634023459592_6Ã65 king size bed for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
39,4,15,"[23.86687660217285, 22.150897979736328, 16.821096420288086, 14.410652160644531]",[],242.4029694734345,1634023459592_6Ã65 king size bed for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
40,4,59,"[5.370916843414307, 18.736995697021484, 123.92252349853516, 78.35012817382812]",[],9709.345599734457,1634023459592_6Ã65 king size bed for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
41,4,81,"[12.49844741821289, 47.145347595214844, 109.43101501464844, 57.584266662597656]",[],6301.504749762244,1634023459592_6Ã65 king size bed for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
42,4,67,"[10.530166625976562, 52.753440856933594, 124.99317932128906, 53.19390869140625]",[],6648.875767865218,1634023459592_6Ã65 king size bed for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
43,4,17,"[85.560302734375, 28.974109649658203, 42.706268310546875, 21.769611358642578]",[],929.6988636985188,1634023459592_6Ã65 king size bed for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
44,4,17,"[9.878177642822266, 21.25897789001465, 116.79849243164062, 62.685325622558594]",[],7321.551530301338,1634023459592_6Ã65 king size bed for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
45,4,81,"[27.472917556762695, 59.75373458862305, 68.05535888671875, 43.83687973022461]",[],2983.3345825143624,1634023459592_6Ã65 king size bed for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
46,4,84,"[21.132732391357422, 48.320980072021484, 37.072662353515625, 15.22957992553711]",[],564.6010743653169,1634023459592_6Ã65 king size bed for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
47,4,84,"[32.03822708129883, 56.47394561767578, 70.59895324707031, 47.094764709472656]",[],3324.841091905837,1634023459592_6Ã65 king size bed for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
48,5,67,"[0.7127896547317505, 95.2090072631836, 26.78899383544922, 11.635017395019531]",[],311.69040927052265,1634027153070_3D cupboard no1 for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
49,6,62,"[43.20736312866211, 5.024595260620117, 94.97267150878906, 82.714111328125]",[],7855.580124307424,1634018410921_Imported Bar chair  stool 319 for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
50,6,67,"[1.5720747709274292, 55.20330047607422, 120.44502258300781, 49.57196044921875]",[],5970.695895790122,1634018410921_Imported Bar chair  stool 319 for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
51,6,70,"[44.377967834472656, 10.219640731811523, 51.861846923828125, 92.33812713623047]",[],4788.825814772164,1634018410921_Imported Bar chair  stool 319 for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
52,6,67,"[82.494140625, 71.6246566772461, 59.505859375, 33.878211975097656]",[],2015.9521176666021,1634018410921_Imported Bar chair  stool 319 for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
53,6,3,"[11.481485366821289, 0.0, 118.79332733154297, 77.48681640625]",[],9204.91674522683,1634018410921_Imported Bar chair  stool 319 for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
54,6,62,"[23.035072326660156, 3.4222047328948975, 76.2138671875, 93.98443603515625]",[],7162.9173256754875,1634018410921_Imported Bar chair  stool 319 for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
55,6,43,"[52.181827545166016, 75.54167175292969, 38.08158493041992, 17.545150756835938]",[],668.1471486634691,1634018410921_Imported Bar chair  stool 319 for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
56,6,46,"[41.950225830078125, 18.89276123046875, 50.88175964355469, 80.65454864501953]",[],4103.845358315273,1634018410921_Imported Bar chair  stool 319 for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
57,6,41,"[44.22320556640625, 19.946866989135742, 49.00567626953125, 83.7311782836914]",[],4103.303016636986,1634018410921_Imported Bar chair  stool 319 for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
58,6,74,"[42.02474594116211, 19.11248207092285, 49.3277702331543, 41.21266174316406]",[],2032.9287091635051,1634018410921_Imported Bar chair  stool 319 for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
59,6,89,"[44.30188751220703, 21.223003387451172, 46.38909149169922, 66.47097778320312]",[],3083.528269927716,1634018410921_Imported Bar chair  stool 319 for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
60,6,81,"[21.116092681884766, 1.9795359373092651, 89.7232666015625, 58.71495819091797]",[],5268.097847263329,1634018410921_Imported Bar chair  stool 319 for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
61,6,51,"[40.73809051513672, 19.707048416137695, 52.50224304199219, 38.09819793701172]",[],2000.2408475509146,1634018410921_Imported Bar chair  stool 319 for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
62,6,2,"[52.48603820800781, 71.89523315429688, 40.34819030761719, 32.63642883300781]",[],1316.820841515204,1634018410921_Imported Bar chair  stool 319 for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
63,6,70,"[20.360929489135742, 1.6564185619354248, 105.76463317871094, 91.50139617919922]",[],9677.611602232908,1634018410921_Imported Bar chair  stool 319 for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
64,6,70,"[27.332136154174805, 0.0, 78.954345703125, 62.31116485595703]",[],4919.7372512016445,1634018410921_Imported Bar chair  stool 319 for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
65,6,62,"[46.275936126708984, 19.97992515563965, 46.84340286254883, 86.1231689453125]",[],4034.302298704628,1634018410921_Imported Bar chair  stool 319 for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
66,6,51,"[24.236495971679688, 0.8533821105957031, 86.77136993408203, 57.381622314453125]",[],4979.0819772651885,1634018410921_Imported Bar chair  stool 319 for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
67,6,43,"[54.204795837402344, 71.25023651123047, 38.00921630859375, 34.244468688964844]",[],1301.6054177717306,1634018410921_Imported Bar chair  stool 319 for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
68,6,2,"[37.17905807495117, 28.025941848754883, 58.50896072387695, 76.54474639892578]",[],4478.55356067387,1634018410921_Imported Bar chair  stool 319 for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
69,6,72,"[17.666433334350586, 0.3830222189426422, 105.40483856201172, 69.44535064697266]",[],7319.875973826449,1634018410921_Imported Bar chair  stool 319 for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
